date,Game
9/8/13,TRUE
9/22/13,TRUE
10/6/13,TRUE
10/20/13,TRUE
11/10/13,TRUE
12/9/13,TRUE
12/29/13,TRUE
9/7/14,TRUE
9/22/14,TRUE
10/5/14,TRUE
10/19/14,TRUE
11/9/14,TRUE
11/23/14,TRUE
12/4/14,TRUE
12/21/14,TRUE
9/13/15,TRUE
9/27/15,TRUE
10/4/15,TRUE
10/18/15,TRUE
11/1/15,TRUE
11/9/15,TRUE
12/6/15,TRUE
12/13/15,TRUE
12/27/15,TRUE
9/19/16,TRUE
10/2/16,TRUE
10/16/16,TRUE
11/13/16,TRUE
11/27/16,TRUE
12/4/16,TRUE
12/18/16,TRUE
9/17/17,TRUE
9/28/17,TRUE
10/9/17,TRUE
10/22/17,TRUE
11/12/17,TRUE
11/19/17,TRUE
12/3/17,TRUE
12/24/17,TRUE
9/17/18,TRUE
9/30/18,TRUE
10/21/18,TRUE
11/4/18,TRUE
11/11/18,TRUE
11/22/18,TRUE
12/9/18,TRUE
12/16/18,TRUE
9/5/19,TRUE
9/29/19,TRUE
10/20/19,TRUE
11/10/19,TRUE
11/17/19,TRUE
12/5/19,TRUE
12/22/19,TRUE
,
,
,
,
,
,
,
,